id,author,text,like_count,timestamp,parent
UgyOZ6GJtlANrTauq1h4AaABAg,@Zakjjvvjjvvkb,Quelle honte serieu hakimi est 10 fois meilleur que lui c est devenu n importe quoi,0,1758726000,root
UgyOZ6GJtlANrTauq1h4AaABAg.ANSn4MM04H2ANUwvE38zru,@Ljey-dz4nv,Qu'on le veuille ou non c'est les finisseur qui passent avant tout le reste et c'est pas nouveau mec c'est un peu tard pour se plaindre,0,1758798000,UgyOZ6GJtlANrTauq1h4AaABAg
UgyknOAjw1Oag76ntMl4AaABAg,@FatoumataDiawara-y9e,🎉🎉🎉🎉❤❤❤❤😊😊😊,0,1758758400,root
Ugwsx5Wq34iMK-zxFkR4AaABAg,@Axel-ne8rp,EXCEPTIONNEL,0,1758758400,root
Ugyg_0VbmSCVpxHebtB4AaABAg,@aliwiss6104,"Hakimi 6 ème qu'elle honte ha ha ha ha ha ha je comprend bien aujourd hui pourqoui le réal Madrid boycote la cérémonie du ballon d or !
Parfois on avance des excuses comme quoi  que les défenseurs 
N ont pas la chance de remporter le ballon d or mais lorsque Pedri a gagné le ballon d or devant Vinicious de nouveau on donne des excuses inacceptable !
France foot à démoli même ses chances pour gagner le ballon
.d or !!!!!!!!
Quelle honte  Hakimi doit quitter le PSG tout à fait comme Donna Roma qu on a remercie d une façon honteuse !",0,1758758400,root
UgwyBrUqALgW6sg1Dax4AaABAg,@amazigh-x4c,"il y a 20 ans, il ne serait même pas parmi les 20 premiers prétendants, il y a clairement une baisse de niveau",0,1758758400,root
UgxuMs4hhftMXC_IqIN4AaABAg,@souben5290,RAPHINHA DESERVDIT MORE THEN DEMBELE 5TH PLACE IS ROBBERY STOLERS,0,1758758400,root
UgwrBYuvS8Yj_tFO74p4AaABAg,@User75319,"Le ballon d’or n’ aucune valeur. J’espère que tous les clubs n’y participeront plus, Comme a fait le réal Madrid. Nasser lakhlifi a acheté ce ballon d’or pour Dembele .
Je ne suis pas contre Le sage Dembele, mais l’organisation française c’est la honte.",0,1758758400,root
UgznysXDuRd7Umw0qv94AaABAg,@FKrich-x6c,Kimi,0,1758758400,root
UgxPuX1gMsHiHyryRb54AaABAg,@هيماالبرديسي,"محمد صلاح هو الأفضل 🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬
وهو من يستحقها",0,1758758400,root
